"X","Y","freq"
"one of","the",34099
"a lot","of",29624
"i am","not",22719
"i have","been",18590
"if you","are",15395
"i am","going",11535
"and i","am",11511
"the first","time",9128
"i think","i",8856
"it would","be",8325
"the fact","that",8055
"can not","wait",7902
"in the","world",7531
"one of","my",7413
"it is","a",7040
"for the","first",6925
"there is","no",6800
"the united","states",6659
"i wanted","to",5472
"and i","have",5390
"i think","it",5324
"as much","as",5045
"in the","past",5042
"of the","most",4911
"to do","with",4642
"one of","those",4602
"a year","old",4526
"in the","middle",4271
"a little","bit",4270
"i am","just",4240
"and i","will",3967
"in the","s",3897
"in new","york",3455
"when it","comes",3420
"in the","same",3332
"in the","morning",3247
"i have","had",3242
"i have","never",3165
"in the","last",3097
"that it","is",2884
"of the","season",2782
"for a","while",2719
"to be","able",2603
"i am","gonna",2584
"i was","in",2441
"in the","end",2309
"at this","point",2291
"as a","result",2280
"and i","think",2108
"in the","united",2078
"check it","out",2068
"of my","life",2042
"a few","days",1981
"and of","course",1979
"in the","state",1951
"of my","favorite",1909
"one of","them",1874
"in the","country",1864
"over the","years",1863
"you are","welcome",1849
"i have","got",1831
"am not","sure",1792
"new york","city",1736
"in the","future",1657
"and a","half",1656
"of the","game",1599
"to look","at",1594
"m to","p",1563
"i am","glad",1554
"by the","way",1525
"and i","do",1483
"the st","louis",1480
"in the","house",1466
"on the","road",1465
"in the","third",1403
"at the","moment",1368
"no matter","how",1360
"i am","sorry",1356
"have to","say",1350
"in the","early",1333
"i am","looking",1266
"you would","like",1265
"i am","trying",1231
"i am","getting",1194
"over the","next",1187
"in my","head",1175
"to do","this",1167
"the most","important",1130
"over and","over",1128
"for the","rest",1105
"or at","least",1083
"of the","people",1067
"one of","his",1056
"in the","face",1032
"i wonder","if",1027
"in the","process",1025
"to do","something",1024
"in the","th",1006
"a few","minutes",1005
"the first","round",1001
"a good","thing",996
"as i","was",964
"in other","words",959
"a bit","more",957
"in the","final",939
"those of","you",936
"to the","public",907
"for some","reason",880
"hall of","fame",870
"if you","would",856
"on the","back",853
"if i","could",843
"a time","when",842
"are a","few",827
"not to","mention",825
"of the","things",818
"and i","know",811
"if you","dont",795
"i think","he",795
"a few","months",793
"so much","fun",787
"in san","francisco",743
"to be","honest",718
"back and","forth",704
"in the","meantime",697
"i am","ready",688
"i am","also",677
"in the","uk",667
"a good","idea",650
"black and","white",643
"in a","large",643
"at the","beginning",639
"a great","deal",626
"all of","these",618
"there is","nothing",612
"the obama","administration",608
"gov chris","christie",601
"in my","opinion",588
"years in","prison",587
"that he","has",586
"that i","did",584
"for a","couple",580
"have you","ever",565
"on the","internet",565
"on the","side",564
"i have","found",562
"the th","century",556
"i would","rather",552
"it makes","me",548
"at the","bottom",530
"for the","second",530
"i was","thinking",527
"in the","fall",521
"i am","hoping",502
"more than","percent",499
"of the","american",497
"in the","midst",485
"i am","now",483
"few years","ago",473
"can not","even",472
"and i","hope",468
"going to","take",458
"in the","room",453
"i have","learned",447
"one or","two",443
"in the","playoffs",438
"in the","summer",430
"amazon services","llc",426
"of the","three",423
"you can","use",419
"what the","hell",418
"point of","view",415
"salt and","pepper",415
"had a","lot",407
"of the","film",407
"to the","other",403
"to the","right",400
"going to","happen",399
"in san","diego",398
"if i","were",394
"the holy","spirit",393
"i have","an",393
"on the","radio",390
"what i","want",388
"i am","tired",387
"on the","table",386
"to get","into",383
"i am","feeling",381
"am looking","forward",374
"a little","too",370
"of the","lord",370
"in the","year",363
"trying to","figure",356
"which is","why",355
"to the","hospital",350
"can be","used",338
"and then","we",335
"points and","rebounds",332
"but i","love",331
"for the","best",328
"how to","get",327
"in the","coming",322
"the so","called",322
"around the","corner",317
"have to","admit",314
"going to","try",313
"can not","help",311
"i found","myself",310
"i will","give",305
"from p","m",303
"on both","sides",302
"out of","town",297
"each and","every",296
"in the","center",295
"to take","care",295
"in the","name",293
"in the","region",292
"in an","effort",292
"on the","couch",291
"i am","talking",291
"those of","us",291
"of my","friends",290
"make a","difference",289
"the good","news",287
"the most","recent",286
"how many","times",281
"bank of","america",280
"of the","biggest",277
"the point","where",275
"you are","interested",274
"in the","mid",274
"he or","she",272
"in the","field",269
"friend of","mine",268
"in the","spring",268
"on the","top",262
"to be","seen",262
"of the","earth",261
"for the","sake",257
"in the","comments",255
"and i","feel",253
"vested interests","vested",251
"and the","new",251
"for the","retweet",249
"to the","fact",244
"at the","age",244
"in the","garden",244
"in the","west",244
"nothing more","than",241
"of the","original",239
"on the","beach",237
"to get","rid",235
"in the","wake",234
"in the","movie",234
"of the","church",232
"year old","daughter",231
"and i","really",227
"in the","fridge",227
"of the","main",223
"u s","rep",223
"ha ha","ha",221
"in the","park",221
"it is","only",220
"on the","bus",220
"for your","support",218
"in the","rain",216
"out of","control",216
"and over","again",214
"in the","sun",212
"of them","and",210
"out of","bed",209
"i am","thankful",209
"incorporated in","item",207
"in the","sixth",207
"let me","tell",206
"and those","who",203
"in the","mail",203
"to work","for",203
"on the","ballot",202
"i am","starting",201
"to a","boil",201
"i will","always",200
"can not","see",200
"on the","subject",198
"i came","across",197
"the grocery","store",197
"i am","taking",194
"and i","still",194
"of this","post",193
"hundreds of","thousands",193
"on the","edge",192
"in the","evening",192
"the death","penalty",191
"find out","what",189
"some of","their",188
"as i","said",186
"are the","ones",184
"a long","term",183
"may or","may",182
"want to","talk",181
"on the","outside",180
"i just","need",179
"you can","read",178
"to get","there",175
"in the","history",174
"a percent","increase",174
"i am","grateful",173
"it was","about",172
"of my","favourite",171
"on the","planet",169
"of the","block",168
"is a","huge",168
"of the","greatest",167
"in an","attempt",166
"i am","loving",165
"from the","start",164
"blah blah","blah",162
"in the","mood",161
"at the","gym",159
"had a","wonderful",158
"of a","sudden",157
"the red","sox",156
"of the","largest",155
"to take","advantage",155
"for a","minute",153
"it was","pretty",153
"i have","written",152
"sense of","humor",151
"osama bin","laden",151
"half an","hour",149
"there are","plenty",149
"in south","africa",147
"there are","several",146
"in the","family",146
"court of","appeals",145
"be the","one",142
"i am","bored",141
"have to","keep",141
"fat g","saturated",141
"a police","officer",140
"in the","company",139
"cup of","coffee",138
"of the","reasons",138
"i am","making",136
"to the","front",136
"but i","guess",135
"that we","should",135
"wish me","luck",134
"of the","holy",134
"of the","universe",134
"in the","mirror",133
"friday and","saturday",133
"in the","western",133
"the first","step",132
"back to","sleep",130
"so i","went",130
"amp lt","span",128
"over medium","heat",128
"for the","entire",127
"in the","eighth",126
"i have","gotten",125
"on a","regular",124
"a heart","attack",124
"i am","totally",123
"on a","daily",123
"of the","art",122
"of my","favorites",119
"on the","streets",119
"amount of","money",119
"thanks for","stopping",118
"of the","above",118
"in the","basement",118
"oven to","degrees",118
"to see","your",116
"of the","worlds",115
"in any","case",115
"what it","takes",114
"new york","n",112
"york n","y",112
"the attorney","general",112
"a daily","basis",111
"in the","near",111
"up to","date",111
"i have","spent",109
"not a","fan",109
"keep an","eye",109
"at the","airport",109
"the united","nations",109
"off the","bench",107
"going to","miss",106
"the most","amazing",105
"of the","card",104
"what that","means",102
"in the","current",102
"i have","lost",102
"i no","longer",101
"so to","speak",100
"there are","lots",99
"of the","economy",98
"i was","working",97
"john smiths","grand",96
"smiths grand","national",96
"the new","testament",95
"on the","web",95
"a few","seconds",95
"more than","anything",95
"in the","shower",94
"what the","heck",94
"i am","guessing",94
"on the","verge",94
"will be","closed",92
"a very","nice",91
"week or","so",91
"in the","library",91
"on the","east",91
"for the","better",89
"in the","classroom",89
"to get","away",88
"game of","thrones",88
"luther king","jr",88
"the finish","line",88
"in the","usa",87
"mom and","dad",87
"had the","opportunity",87
"he was","born",87
"see what","happens",86
"background none","repeat",85
"none repeat","scroll",85
"c above","pp",85
"if you","ask",85
"am not","saying",85
"i have","missed",84
"i have","met",84
"the european","union",84
"on the","cover",84
"will be","open",84
"i am","learning",83
"it was","such",83
"that the","u",83
"for a","walk",83
"in the","eyes",82
"in the","yard",82
"is a","member",82
"the year","before",82
"spellcheck word","amp",81
"have been","waiting",81
"in the","media",81
"to be","successful",81
