"X","Y","freq"
"i am going","to",9440
"one of the","most",3244
"i can not","wait",2788
"i am not","sure",1764
"m to p","m",1563
"said in a","statement",1493
"a bit of","a",1192
"a lot of","people",1170
"one of my","favorite",1125
"i wish i","could",863
"in the first","place",694
"i have to","say",651
"the back of","the",645
"i have no","idea",617
"have a great","weekend",587
"for the most","part",563
"i am so","excited",520
"in the first","round",481
"if you would","like",479
"on the other","side",469
"a few years","ago",469
"a lot of","time",440
"and i am","not",395
"thanks for the","ff",394
"the new york","times",390
"of the united","states",377
"a couple of","weeks",356
"in new york","city",344
"i am looking","forward",332
"thanks for the","shout",330
"a lot of","fun",294
"feel like i","am",294
"trying to figure","out",262
"vested interests vested","interests",251
"i have ever","seen",251
"interests vested interests","vested",250
"a couple of","years",248
"a lot of","things",245
"at the age","of",236
"by the time","i",234
"i have to","admit",226
"is one of","those",219
"all over the","world",216
"over and over","again",213
"i am so","glad",205
"i have never","been",205
"it was the","first",204
"fell in love","with",197
"i think it","is",197
"if you are","interested",196
"i can not","even",189
"to the point","where",161
"thanks for the","retweet",158
"all of a","sudden",147
"in the same","way",140
"one of the","biggest",137
"for a few","minutes",136
"those of us","who",135
"i do know","why",133
"g fat g","saturated",129
"i can not","help",128
"open to the","public",125
"more than a","decade",123
"la la la","la",118
"in item c","above",116
"there will be","no",114
"new york n","y",112
"with salt and","pepper",111
"do you have","any",108
"omg omg omg","omg",107
"on a daily","basis",106
"a friend of","mine",104
"one of my","favourite",102
"i was a","kid",101
"one of the","reasons",101
"in the right","direction",99
"be sure to","check",97
"hunter matt hunter","matt",97
"are going to","do",97
"incorporated in item","c",96
"john smiths grand","national",96
"ha ha ha","ha",96
"one of the","largest",96
"i have been","trying",95
"i am so","sorry",92
"middle of the","night",92
"in the th","century",90
"in the near","future",89
"martin luther king","jr",88
"background none repeat","scroll",85
"none repeat scroll","yellow",85
"style background none","repeat",85
"how much i","love",81
"in the living","room",80
"item c above","pp",79
"that the u","s",79
"end of the","month",77
"of millions of","dollars",77
"but in the","end",76
"what i am","doing",76
"i will give","you",74
"p m to","p",72
"the wall street","journal",72
"thank you to","everyone",71
"in the first","inning",70
"g protein g","carbohydrate",69
"on the way","home",68
"of the holy","spirit",65
"the university of","chicago",65
"amp lt span","amp",64
"scroll yellow class","goog",64
"yellow class goog","spellcheck",64
"hour and a","half",63
"side of the","road",63
"know what i","mean",62
"am going to","try",62
"and i know","that",62
"and as a","result",61
"i want to","know",61
"as soon as","possible",60
"to go to","school",59
"one of a","kind",57
"president george w","bush",57
"i want to","get",56
"blah blah blah","blah",56
"swag swag swag","swag",54
"i have ever","had",54
"one of my","favorites",53
"at the last","minute",52
"i hope you","enjoy",51
"dont get me","wrong",49
"thanks for the","rts",48
"it is a","very",48
"on condition of","anonymity",48
"forward to your","tweets",46
"on the one","hand",46
"a few days","later",46
"the former massachusetts","governor",45
"is subject to","change",44
"preheat oven to","degrees",43
"dc in next","dc",42
"due to the","fact",42
"for a while","now",42
"in a small","bowl",42
"i had a","lot",41
"i will never","forget",41
"to provide a","means",40
"can not wait","until",40
"the hall of","fame",40
"i think i","might",39
"one way or","another",39
"i can not","imagine",39
"spellcheck word amp","gt",38
"the north dakota","township",38
"a means for","sites",38
"advertising fees by","advertising",38
"amazon co uk","amazon",38
"amazon com amazon","ca",38
"amazon de amazon","fr",38
"amazon es certain","content",38
"amazon eu associates","programmes",38
"and amazon es","certain",38
"and amazon eu","associates",38
"and or amazon","eu",38
"appears on this","website",38
"by advertising and","linking",38
"certain content that","appears",38
"co uk amazon","de",38
"com is a","participant",38
"eu associates programmes","designed",38
"for sites to","earn",38
"from amazon services","llc",38
"is and is","subject",38
"it and amazon","es",38
"programmes designed to","provide",38
"this content is","provided",38
"to change or","removal",38
"to earn advertising","fees",38
"lord of the","rings",38
"a lot of","my",38
"if you ask","me",36
"one of the","worst",36
"a glass of","wine",36
"illinois incorporated in","item",35
"you can not","see",34
"clap clap clap","clap",34
"as much as","we",34
